,Hour,Geothermal,Biomass,Biogas,Small Hydro,Wind,Solar,Date
0,1,1056,323,170,250,632,0,2010-04-20 00:00:00
1,2,1055,318,169,245,632,0,2010-04-20 01:00:00
2,3,1058,316,168,240,677,0,2010-04-20 02:00:00
3,4,1063,318,168,238,923,0,2010-04-20 03:00:00
4,5,1066,318,168,247,875,0,2010-04-20 04:00:00
5,6,1066,317,169,247,998,0,2010-04-20 05:00:00
6,7,1066,312,166,244,763,0,2010-04-20 06:00:00
7,8,1067,313,167,269,544,1,2010-04-20 07:00:00
8,9,1065,315,169,280,572,191,2010-04-20 08:00:00
9,10,1063,316,167,294,721,299,2010-04-20 09:00:00
10,11,1063,314,169,294,658,278,2010-04-20 10:00:00
11,12,1066,317,171,271,772,198,2010-04-20 11:00:00
12,13,1068,324,171,270,1012,126,2010-04-20 12:00:00
13,14,1066,322,169,282,1350,139,2010-04-20 13:00:00
14,15,1067,326,170,292,1489,111,2010-04-20 14:00:00
15,16,1070,324,160,294,1475,39,2010-04-20 15:00:00
16,17,1071,320,147,295,1518,25,2010-04-20 16:00:00
17,18,1070,320,148,297,1511,3,2010-04-20 17:00:00
18,19,1070,314,153,302,1356,0,2010-04-20 18:00:00
19,20,1072,299,151,305,1083,0,2010-04-20 19:00:00
20,21,1072,300,124,307,1126,0,2010-04-20 20:00:00
21,22,1071,277,123,297,1024,0,2010-04-20 21:00:00
22,23,1071,284,126,266,1017,0,2010-04-20 22:00:00
23,24,1072,284,140,245,1018,0,2010-04-20 23:00:00
24,1,1072,285,145,253,1055,0,2010-04-21 00:00:00
25,2,1072,280,142,253,938,0,2010-04-21 01:00:00
26,3,1072,277,153,254,864,0,2010-04-21 02:00:00
27,4,1073,275,167,255,828,0,2010-04-21 03:00:00
28,5,1074,282,164,263,843,0,2010-04-21 04:00:00
29,6,1074,286,163,274,850,0,2010-04-21 05:00:00
30,7,1075,280,163,298,964,0,2010-04-21 06:00:00
31,8,1075,280,166,303,1130,3,2010-04-21 07:00:00
32,9,1073,279,164,303,1107,85,2010-04-21 08:00:00
33,10,1072,275,162,304,968,30,2010-04-21 09:00:00
34,11,1068,275,165,303,886,34,2010-04-21 10:00:00
35,12,1067,282,166,300,920,67,2010-04-21 11:00:00
36,13,1071,284,168,298,773,97,2010-04-21 12:00:00
37,14,1072,289,169,309,741,28,2010-04-21 13:00:00
38,15,1079,289,169,311,701,27,2010-04-21 14:00:00
39,16,1070,290,169,312,674,23,2010-04-21 15:00:00
40,17,1070,293,170,311,644,17,2010-04-21 16:00:00
41,18,1069,292,173,306,578,3,2010-04-21 17:00:00
42,19,1069,292,174,312,641,0,2010-04-21 18:00:00
43,20,1069,290,175,313,871,0,2010-04-21 19:00:00
44,21,1071,282,178,313,889,0,2010-04-21 20:00:00
45,22,1070,283,177,300,990,0,2010-04-21 21:00:00
46,23,1071,280,177,296,1071,0,2010-04-21 22:00:00
47,24,1083,277,177,270,916,0,2010-04-21 23:00:00
48,1,1096,278,177,252,897,0,2010-04-22 00:00:00
49,2,1096,258,177,252,969,0,2010-04-22 01:00:00
50,3,1097,258,176,253,822,0,2010-04-22 02:00:00
51,4,1097,259,175,252,762,0,2010-04-22 03:00:00
52,5,1096,274,175,262,629,0,2010-04-22 04:00:00
53,6,1097,258,175,275,535,0,2010-04-22 05:00:00
54,7,1098,257,175,293,455,0,2010-04-22 06:00:00
55,8,1097,249,175,297,404,4,2010-04-22 07:00:00
56,9,1095,256,169,295,275,15,2010-04-22 08:00:00
57,10,1094,262,169,307,125,72,2010-04-22 09:00:00
58,11,1091,270,170,317,179,137,2010-04-22 10:00:00
59,12,1088,276,169,307,166,117,2010-04-22 11:00:00
60,13,1086,293,168,300,135,36,2010-04-22 12:00:00
61,14,1078,305,170,300,152,26,2010-04-22 13:00:00
62,15,1028,316,171,295,139,12,2010-04-22 14:00:00
63,16,1043,318,171,298,157,12,2010-04-22 15:00:00
64,17,1055,320,173,300,201,10,2010-04-22 16:00:00
65,18,1045,320,175,300,236,34,2010-04-22 17:00:00
66,19,1044,320,176,301,203,6,2010-04-22 18:00:00
67,20,1056,320,176,303,186,0,2010-04-22 19:00:00
68,21,1057,315,176,294,245,0,2010-04-22 20:00:00
69,22,1058,310,174,295,286,0,2010-04-22 21:00:00
70,23,1059,307,173,294,300,0,2010-04-22 22:00:00
71,24,1060,308,173,279,238,0,2010-04-22 23:00:00
72,1,1060,309,170,251,157,0,2010-04-23 00:00:00
73,2,1060,300,169,259,122,0,2010-04-23 01:00:00
74,3,1061,300,168,260,245,0,2010-04-23 02:00:00
75,4,1061,304,168,260,300,0,2010-04-23 03:00:00
76,5,1062,310,169,261,279,0,2010-04-23 04:00:00
77,6,1062,313,169,277,326,0,2010-04-23 05:00:00
78,7,1061,313,176,277,422,0,2010-04-23 06:00:00
79,8,1061,311,179,288,331,3,2010-04-23 07:00:00
80,9,1062,310,179,287,420,181,2010-04-23 08:00:00
81,10,1061,311,176,303,428,297,2010-04-23 09:00:00
82,11,1059,315,172,311,349,331,2010-04-23 10:00:00
83,12,1056,315,174,311,281,330,2010-04-23 11:00:00
84,13,1053,317,172,302,370,328,2010-04-23 12:00:00
85,14,1051,318,172,310,544,327,2010-04-23 13:00:00
86,15,1049,311,171,312,704,326,2010-04-23 14:00:00
87,16,1047,320,173,312,834,322,2010-04-23 15:00:00
88,17,1046,320,173,313,949,304,2010-04-23 16:00:00
89,18,1044,322,176,313,1089,253,2010-04-23 17:00:00
90,19,1046,329,178,314,1268,160,2010-04-23 18:00:00
91,20,1049,330,179,314,1427,69,2010-04-23 19:00:00
92,21,1055,325,178,314,1482,53,2010-04-23 20:00:00
93,22,1060,317,177,313,1419,0,2010-04-23 21:00:00
94,23,1052,295,176,313,1430,0,2010-04-23 22:00:00
95,24,1049,293,176,314,1325,0,2010-04-23 23:00:00
96,1,1047,294,176,287,1150,0,2010-04-24 00:00:00
97,2,1050,286,175,274,1161,0,2010-04-24 01:00:00
98,3,1051,287,175,273,1188,0,2010-04-24 02:00:00
99,4,1051,295,176,265,1113,0,2010-04-24 03:00:00
100,5,1050,296,176,275,987,0,2010-04-24 04:00:00
101,6,1051,302,177,269,872,0,2010-04-24 05:00:00
102,7,1052,303,177,263,786,0,2010-04-24 06:00:00
103,8,1052,303,177,276,556,11,2010-04-24 07:00:00
104,9,1053,303,178,301,353,220,2010-04-24 08:00:00
105,10,1054,299,179,305,190,327,2010-04-24 09:00:00
106,11,1053,299,179,305,86,347,2010-04-24 10:00:00
107,12,1051,299,180,306,25,348,2010-04-24 11:00:00
108,13,1048,300,181,300,38,346,2010-04-24 12:00:00
109,14,1046,300,180,305,129,346,2010-04-24 13:00:00
110,15,1044,300,180,305,271,349,2010-04-24 14:00:00
111,16,1042,300,180,306,534,346,2010-04-24 15:00:00
112,17,1044,300,180,288,751,329,2010-04-24 16:00:00
113,18,1049,303,180,288,869,276,2010-04-24 17:00:00
114,19,1048,301,179,290,909,126,2010-04-24 18:00:00
115,20,1050,300,179,295,949,0,2010-04-24 19:00:00
116,21,1053,298,179,303,1036,0,2010-04-24 20:00:00
117,22,1054,296,179,308,1076,0,2010-04-24 21:00:00
118,23,1055,291,178,308,1055,0,2010-04-24 22:00:00
119,24,1055,291,178,292,979,0,2010-04-24 23:00:00
120,1,1056,291,178,280,901,0,2010-04-25 00:00:00
121,2,1057,282,177,273,815,0,2010-04-25 01:00:00
122,3,1057,282,177,272,745,0,2010-04-25 02:00:00
123,4,1056,285,177,271,588,0,2010-04-25 03:00:00
124,5,1056,286,177,271,484,0,2010-04-25 04:00:00
125,6,1058,292,177,280,433,0,2010-04-25 05:00:00
126,7,1060,295,178,278,358,0,2010-04-25 06:00:00
127,8,1060,297,177,293,265,6,2010-04-25 07:00:00
128,9,1059,294,179,300,143,225,2010-04-25 08:00:00
129,10,1057,292,179,307,34,318,2010-04-25 09:00:00
130,11,1056,294,179,307,22,339,2010-04-25 10:00:00
131,12,1054,294,180,307,7,343,2010-04-25 11:00:00
132,13,1052,296,180,308,8,341,2010-04-25 12:00:00
133,14,1050,296,180,305,-2,341,2010-04-25 13:00:00
134,15,1050,295,180,303,11,344,2010-04-25 14:00:00
135,16,1048,295,166,304,67,343,2010-04-25 15:00:00
136,17,1048,291,145,305,250,332,2010-04-25 16:00:00
137,18,1050,291,143,307,419,290,2010-04-25 17:00:00
138,19,1049,290,147,308,566,146,2010-04-25 18:00:00
139,20,1051,288,150,310,668,8,2010-04-25 19:00:00
140,21,1055,283,154,311,696,0,2010-04-25 20:00:00
141,22,1058,280,165,311,692,0,2010-04-25 21:00:00
142,23,1059,280,167,312,648,0,2010-04-25 22:00:00
143,24,1060,278,169,307,493,0,2010-04-25 23:00:00
144,1,1061,285,176,288,448,0,2010-04-26 00:00:00
145,2,1062,276,176,278,512,0,2010-04-26 01:00:00
146,3,1062,277,175,268,563,0,2010-04-26 02:00:00
147,4,1063,280,176,267,620,0,2010-04-26 03:00:00
148,5,1064,276,176,265,648,0,2010-04-26 04:00:00
149,6,1064,273,176,268,638,0,2010-04-26 05:00:00
150,7,1063,267,176,275,557,0,2010-04-26 06:00:00
151,8,1063,271,176,277,400,10,2010-04-26 07:00:00
152,9,1063,275,175,292,309,231,2010-04-26 08:00:00
153,10,1063,279,174,293,200,341,2010-04-26 09:00:00
154,11,1060,280,171,293,210,354,2010-04-26 10:00:00
155,12,1060,275,170,294,234,357,2010-04-26 11:00:00
156,13,1058,277,167,294,285,355,2010-04-26 12:00:00
157,14,1056,281,169,296,290,355,2010-04-26 13:00:00
158,15,1047,283,171,292,314,355,2010-04-26 14:00:00
159,16,1045,284,172,297,471,353,2010-04-26 15:00:00
160,17,1049,284,175,298,753,338,2010-04-26 16:00:00
161,18,1053,283,171,298,976,294,2010-04-26 17:00:00
162,19,1055,281,172,300,904,147,2010-04-26 18:00:00
163,20,1057,272,171,302,971,57,2010-04-26 19:00:00
164,21,1056,277,171,303,1152,52,2010-04-26 20:00:00
165,22,1055,286,171,302,1109,0,2010-04-26 21:00:00
166,23,1055,285,171,302,1048,0,2010-04-26 22:00:00
167,24,1054,284,171,301,1052,0,2010-04-26 23:00:00
168,1,1052,287,171,288,1153,0,2010-04-27 00:00:00
169,2,1052,279,170,272,982,0,2010-04-27 01:00:00
170,3,1050,280,171,271,912,0,2010-04-27 02:00:00
171,4,1043,290,170,268,934,0,2010-04-27 03:00:00
172,5,1013,291,171,271,872,0,2010-04-27 04:00:00
173,6,1016,286,170,281,843,0,2010-04-27 05:00:00
174,7,1015,285,171,288,785,0,2010-04-27 06:00:00
175,8,1015,292,170,290,804,2,2010-04-27 07:00:00
176,9,1014,291,167,287,807,132,2010-04-27 08:00:00
177,10,1013,290,163,285,1075,199,2010-04-27 09:00:00
178,11,1013,290,163,291,1241,256,2010-04-27 10:00:00
179,12,999,293,165,292,1443,235,2010-04-27 11:00:00
180,13,985,296,166,291,1600,161,2010-04-27 12:00:00
181,14,989,295,169,291,1642,193,2010-04-27 13:00:00
182,15,993,295,169,297,1670,264,2010-04-27 14:00:00
183,16,994,299,168,295,1683,263,2010-04-27 15:00:00
184,17,996,296,168,303,1746,242,2010-04-27 16:00:00
185,18,999,297,170,297,1699,102,2010-04-27 17:00:00
186,19,1000,289,171,294,1648,0,2010-04-27 18:00:00
187,20,1001,294,171,297,1469,0,2010-04-27 19:00:00
188,21,1003,287,171,297,1100,0,2010-04-27 20:00:00
189,22,1004,288,171,298,1136,0,2010-04-27 21:00:00
190,23,1005,283,171,298,1058,0,2010-04-27 22:00:00
191,24,1005,280,171,298,946,0,2010-04-27 23:00:00
192,1,1007,270,170,297,904,0,2010-04-28 00:00:00
193,2,1037,266,170,297,934,0,2010-04-28 01:00:00
194,3,1037,273,170,299,916,0,2010-04-28 02:00:00
195,4,1036,279,170,300,919,0,2010-04-28 03:00:00
196,5,1035,280,170,309,961,0,2010-04-28 04:00:00
197,6,1030,281,169,310,929,0,2010-04-28 05:00:00
198,7,1008,282,161,310,968,0,2010-04-28 06:00:00
199,8,1030,278,154,310,952,15,2010-04-28 07:00:00
200,9,1032,280,152,310,1001,242,2010-04-28 08:00:00
201,10,1030,283,154,308,1129,323,2010-04-28 09:00:00
202,11,1030,285,156,306,1232,333,2010-04-28 10:00:00
203,12,1028,287,157,297,1313,273,2010-04-28 11:00:00
204,13,1026,294,156,300,1205,169,2010-04-28 12:00:00
205,14,1030,293,159,310,1281,175,2010-04-28 13:00:00
206,15,1031,296,160,309,1429,179,2010-04-28 14:00:00
207,16,1034,288,159,310,1490,172,2010-04-28 15:00:00
208,17,1033,295,163,312,1449,157,2010-04-28 16:00:00
209,18,1036,297,165,312,1401,73,2010-04-28 17:00:00
210,19,1036,296,169,313,1209,42,2010-04-28 18:00:00
211,20,1038,296,169,314,984,59,2010-04-28 19:00:00
212,21,1039,290,169,314,905,19,2010-04-28 20:00:00
213,22,1040,290,168,306,895,0,2010-04-28 21:00:00
214,23,1040,282,169,293,900,0,2010-04-28 22:00:00
215,24,1040,281,169,294,767,0,2010-04-28 23:00:00
216,1,1040,285,168,301,657,0,2010-04-29 00:00:00
217,2,1042,277,168,307,672,0,2010-04-29 01:00:00
218,3,1043,277,167,309,679,0,2010-04-29 02:00:00
219,4,1043,283,167,308,656,0,2010-04-29 03:00:00
220,5,1038,285,168,309,683,0,2010-04-29 04:00:00
221,6,1036,286,169,312,772,0,2010-04-29 05:00:00
222,7,1035,286,168,321,861,0,2010-04-29 06:00:00
223,8,1034,286,157,320,915,19,2010-04-29 07:00:00
224,9,1036,293,155,318,897,245,2010-04-29 08:00:00
225,10,1040,292,155,317,826,334,2010-04-29 09:00:00
226,11,1038,294,152,306,721,334,2010-04-29 10:00:00
227,12,1035,294,152,307,715,353,2010-04-29 11:00:00
228,13,1034,297,160,307,804,347,2010-04-29 12:00:00
229,14,1033,300,160,307,848,318,2010-04-29 13:00:00
230,15,1033,303,162,312,870,346,2010-04-29 14:00:00
231,16,1033,291,164,311,1020,279,2010-04-29 15:00:00
232,17,1032,281,164,311,1245,219,2010-04-29 16:00:00
233,18,1031,280,166,300,1364,285,2010-04-29 17:00:00
234,19,1032,280,167,300,1334,181,2010-04-29 18:00:00
235,20,1032,280,156,301,1193,62,2010-04-29 19:00:00
236,21,1033,271,171,313,1137,8,2010-04-29 20:00:00
237,22,1033,270,171,315,1116,0,2010-04-29 21:00:00
238,23,1042,252,171,309,1037,0,2010-04-29 22:00:00
239,24,1073,242,171,306,986,0,2010-04-29 23:00:00
240,1,1074,243,171,302,853,0,2010-04-30 00:00:00
241,2,1072,237,171,304,776,0,2010-04-30 01:00:00
242,3,1072,235,171,306,772,0,2010-04-30 02:00:00
243,4,1071,240,171,308,707,0,2010-04-30 03:00:00
244,5,1071,246,170,319,616,0,2010-04-30 04:00:00
245,6,1070,247,169,316,629,0,2010-04-30 05:00:00
246,7,1072,244,169,291,698,0,2010-04-30 06:00:00
247,8,1071,246,167,307,820,33,2010-04-30 07:00:00
248,9,1070,245,167,308,893,274,2010-04-30 08:00:00
249,10,1068,244,168,307,881,351,2010-04-30 09:00:00
250,11,1068,249,168,304,807,358,2010-04-30 10:00:00
251,12,1067,251,167,306,618,358,2010-04-30 11:00:00
252,13,1065,254,169,307,454,357,2010-04-30 12:00:00
253,14,1063,255,171,307,444,358,2010-04-30 13:00:00
254,15,1062,257,171,306,465,358,2010-04-30 14:00:00
255,16,1059,254,170,308,547,354,2010-04-30 15:00:00
256,17,1059,248,168,310,802,341,2010-04-30 16:00:00
257,18,1059,249,169,310,1061,306,2010-04-30 17:00:00
258,19,1058,248,169,313,1212,190,2010-04-30 18:00:00
259,20,1060,248,172,322,1187,72,2010-04-30 19:00:00
260,21,1061,249,172,322,1240,52,2010-04-30 20:00:00
261,22,1061,238,171,322,1224,0,2010-04-30 21:00:00
262,23,1062,221,170,323,1206,0,2010-04-30 22:00:00
263,24,1063,218,171,322,1181,0,2010-04-30 23:00:00
264,1,1063,214,171,308,1171,0,2010-05-01 00:00:00
265,2,1064,209,171,308,1161,0,2010-05-01 01:00:00
266,3,1064,207,170,304,1005,0,2010-05-01 02:00:00
267,4,1065,213,171,304,939,0,2010-05-01 03:00:00
268,5,1065,215,171,305,837,0,2010-05-01 04:00:00
269,6,1063,221,171,303,756,0,2010-05-01 05:00:00
270,7,1062,222,171,302,718,0,2010-05-01 06:00:00
271,8,1060,222,171,324,650,34,2010-05-01 07:00:00
272,9,1056,220,171,325,563,268,2010-05-01 08:00:00
273,10,1055,222,173,325,356,335,2010-05-01 09:00:00
274,11,1054,222,173,326,267,348,2010-05-01 10:00:00
275,12,1052,217,173,324,261,346,2010-05-01 11:00:00
276,13,1049,215,174,325,523,341,2010-05-01 12:00:00
277,14,1046,215,173,324,702,342,2010-05-01 13:00:00
278,15,1045,215,172,326,992,339,2010-05-01 14:00:00
279,16,1044,211,171,328,1296,336,2010-05-01 15:00:00
280,17,1045,212,171,329,1526,289,2010-05-01 16:00:00
281,18,1047,220,171,328,1369,272,2010-05-01 17:00:00
282,19,1050,224,171,330,1426,155,2010-05-01 18:00:00
283,20,1053,236,171,332,1558,11,2010-05-01 19:00:00
284,21,1055,232,172,332,1595,0,2010-05-01 20:00:00
285,22,1056,238,169,333,1622,0,2010-05-01 21:00:00
286,23,1057,234,170,332,1580,0,2010-05-01 22:00:00
287,24,1059,231,172,331,1629,0,2010-05-01 23:00:00
288,1,1060,232,171,312,1496,0,2010-05-02 00:00:00
289,2,1060,228,170,305,1393,0,2010-05-02 01:00:00
290,3,1062,220,170,306,1274,0,2010-05-02 02:00:00
291,4,1062,228,170,306,1066,0,2010-05-02 03:00:00
292,5,1064,241,171,304,1011,0,2010-05-02 04:00:00
293,6,1063,250,171,299,976,0,2010-05-02 05:00:00
294,7,1064,241,171,309,999,0,2010-05-02 06:00:00
295,8,1067,237,172,323,1002,21,2010-05-02 07:00:00
296,9,1071,237,172,325,1112,255,2010-05-02 08:00:00
297,10,1069,235,172,326,1122,327,2010-05-02 09:00:00
298,11,1068,236,173,326,999,344,2010-05-02 10:00:00
299,12,1067,241,173,324,882,342,2010-05-02 11:00:00
300,13,1059,246,173,324,794,347,2010-05-02 12:00:00
301,14,1056,243,173,325,634,341,2010-05-02 13:00:00
302,15,1054,245,172,323,534,346,2010-05-02 14:00:00
303,16,1050,246,172,324,604,338,2010-05-02 15:00:00
304,17,1048,246,172,325,672,327,2010-05-02 16:00:00
305,18,1047,245,171,325,718,288,2010-05-02 17:00:00
306,19,1045,245,170,326,654,152,2010-05-02 18:00:00
307,20,1046,245,169,328,588,10,2010-05-02 19:00:00
308,21,1048,245,169,328,510,0,2010-05-02 20:00:00
309,22,1048,245,169,327,477,0,2010-05-02 21:00:00
310,23,1050,241,170,327,469,0,2010-05-02 22:00:00
311,24,1051,238,170,315,440,0,2010-05-02 23:00:00
312,1,1051,232,169,311,330,0,2010-05-03 00:00:00
313,2,1052,227,170,301,234,0,2010-05-03 01:00:00
314,3,1053,226,170,300,183,0,2010-05-03 02:00:00
315,4,1055,230,170,300,123,0,2010-05-03 03:00:00
316,5,1055,226,170,297,112,0,2010-05-03 04:00:00
317,6,1055,222,170,294,92,0,2010-05-03 05:00:00
318,7,1053,224,169,305,90,0,2010-05-03 06:00:00
319,8,1052,226,169,312,129,31,2010-05-03 07:00:00
320,9,1049,234,169,314,104,268,2010-05-03 08:00:00
321,10,1046,239,170,313,115,340,2010-05-03 09:00:00
322,11,1044,240,168,314,122,353,2010-05-03 10:00:00
323,12,1042,239,170,314,108,351,2010-05-03 11:00:00
324,13,1039,247,169,336,139,348,2010-05-03 12:00:00
325,14,1038,245,170,341,340,345,2010-05-03 13:00:00
326,15,1038,253,172,339,655,342,2010-05-03 14:00:00
327,16,1038,254,172,340,820,335,2010-05-03 15:00:00
328,17,1039,252,171,341,1117,319,2010-05-03 16:00:00
329,18,1038,257,171,340,1191,282,2010-05-03 17:00:00
330,19,1037,261,171,315,1178,166,2010-05-03 18:00:00
331,20,1041,264,172,316,1328,72,2010-05-03 19:00:00
332,21,1046,256,172,317,1369,39,2010-05-03 20:00:00
333,22,1048,254,170,317,1480,0,2010-05-03 21:00:00
334,23,1051,248,170,317,1622,0,2010-05-03 22:00:00
335,24,1057,247,170,316,1585,0,2010-05-03 23:00:00
336,1,1062,248,169,315,1584,0,2010-05-04 00:00:00
337,2,1060,245,167,305,1415,0,2010-05-04 01:00:00
338,3,1062,241,167,305,1178,0,2010-05-04 02:00:00
339,4,1047,243,168,305,1067,0,2010-05-04 03:00:00
340,5,1045,249,168,305,951,0,2010-05-04 04:00:00
341,6,1050,252,169,301,845,0,2010-05-04 05:00:00
342,7,1052,252,169,309,698,0,2010-05-04 06:00:00
343,8,1051,253,169,296,701,40,2010-05-04 07:00:00
344,9,1046,251,170,290,723,269,2010-05-04 08:00:00
345,10,1013,252,170,290,730,344,2010-05-04 09:00:00
346,11,1010,251,166,290,732,357,2010-05-04 10:00:00
347,12,1008,243,164,291,678,359,2010-05-04 11:00:00
348,13,1007,248,166,316,688,355,2010-05-04 12:00:00
349,14,1006,241,167,317,691,350,2010-05-04 13:00:00
350,15,1003,245,171,315,707,350,2010-05-04 14:00:00
351,16,1001,250,173,321,841,347,2010-05-04 15:00:00
352,17,1005,248,173,332,975,339,2010-05-04 16:00:00
353,18,1005,248,174,340,994,307,2010-05-04 17:00:00
354,19,1007,248,175,318,1012,191,2010-05-04 18:00:00
355,20,1009,249,174,326,1126,74,2010-05-04 19:00:00
356,21,1012,242,172,328,1247,40,2010-05-04 20:00:00
357,22,1018,239,171,328,1299,0,2010-05-04 21:00:00
358,23,1037,235,170,325,1395,0,2010-05-04 22:00:00
359,24,1039,234,169,323,1392,0,2010-05-04 23:00:00
360,1,1039,234,169,315,1489,0,2010-05-05 00:00:00
361,2,1040,232,168,313,1533,0,2010-05-05 01:00:00
362,3,1040,248,169,313,1537,0,2010-05-05 02:00:00
363,4,1040,254,169,313,1460,0,2010-05-05 03:00:00
364,5,1031,260,169,311,1326,0,2010-05-05 04:00:00
365,6,1029,262,168,308,1212,0,2010-05-05 05:00:00
366,7,1006,257,168,312,1116,0,2010-05-05 06:00:00
367,8,1005,261,165,319,1074,41,2010-05-05 07:00:00
368,9,1023,268,166,306,1017,200,2010-05-05 08:00:00
369,10,1027,268,165,298,1030,323,2010-05-05 09:00:00
370,11,1024,271,164,297,937,352,2010-05-05 10:00:00
371,12,1022,274,165,300,922,355,2010-05-05 11:00:00
372,13,1019,276,167,342,941,344,2010-05-05 12:00:00
373,14,1013,278,168,359,927,346,2010-05-05 13:00:00
374,15,1013,274,170,357,921,325,2010-05-05 14:00:00
375,16,1014,267,171,358,921,325,2010-05-05 15:00:00
376,17,1015,268,171,359,900,315,2010-05-05 16:00:00
377,18,1016,269,172,357,932,285,2010-05-05 17:00:00
378,19,1025,248,172,331,1011,184,2010-05-05 18:00:00
379,20,1030,244,172,332,1081,48,2010-05-05 19:00:00
380,21,1031,236,172,332,1075,0,2010-05-05 20:00:00
381,22,1033,238,171,332,1067,0,2010-05-05 21:00:00
382,23,1032,236,171,333,881,0,2010-05-05 22:00:00
383,24,1033,237,170,331,827,0,2010-05-05 23:00:00
384,1,1033,239,170,310,968,0,2010-05-06 00:00:00
385,2,1035,236,170,305,1033,0,2010-05-06 01:00:00
386,3,1036,234,171,305,1290,0,2010-05-06 02:00:00
387,4,1037,236,171,307,1423,0,2010-05-06 03:00:00
388,5,1038,242,171,307,1376,0,2010-05-06 04:00:00
389,6,1038,240,171,308,1287,0,2010-05-06 05:00:00
390,7,1039,243,170,306,1154,0,2010-05-06 06:00:00
391,8,1039,245,169,331,1080,44,2010-05-06 07:00:00
392,9,1037,249,168,337,1163,284,2010-05-06 08:00:00
393,10,1035,249,169,336,1121,357,2010-05-06 09:00:00
394,11,1033,249,170,330,1205,367,2010-05-06 10:00:00
395,12,1032,249,170,333,1242,367,2010-05-06 11:00:00
396,13,1032,248,170,356,1257,364,2010-05-06 12:00:00
397,14,1030,250,168,357,1219,364,2010-05-06 13:00:00
398,15,1030,253,169,356,1087,359,2010-05-06 14:00:00
399,16,1030,256,168,356,985,354,2010-05-06 15:00:00
400,17,1015,252,168,357,976,344,2010-05-06 16:00:00
401,18,1021,254,172,356,935,309,2010-05-06 17:00:00
402,19,1021,255,173,332,913,189,2010-05-06 18:00:00
403,20,1021,244,173,333,905,78,2010-05-06 19:00:00
404,21,1031,223,172,333,909,22,2010-05-06 20:00:00
405,22,1033,220,170,333,865,0,2010-05-06 21:00:00
406,23,1034,217,170,333,838,0,2010-05-06 22:00:00
407,24,1034,216,170,330,719,0,2010-05-06 23:00:00
408,1,1036,217,169,313,604,0,2010-05-07 00:00:00
409,2,1035,211,168,319,570,0,2010-05-07 01:00:00
410,3,1036,216,168,320,519,0,2010-05-07 02:00:00
411,4,1037,225,169,320,481,0,2010-05-07 03:00:00
412,5,1036,233,169,319,408,0,2010-05-07 04:00:00
413,6,1036,226,169,319,341,0,2010-05-07 05:00:00
414,7,1036,220,168,319,279,0,2010-05-07 06:00:00
415,8,1036,219,167,331,160,50,2010-05-07 07:00:00
416,9,1034,221,171,335,85,296,2010-05-07 08:00:00
417,10,1031,222,171,334,67,362,2010-05-07 09:00:00
418,11,1029,236,173,333,43,369,2010-05-07 10:00:00
419,12,1028,242,174,342,27,367,2010-05-07 11:00:00
420,13,1026,251,172,364,32,367,2010-05-07 12:00:00
421,14,1025,252,172,367,82,366,2010-05-07 13:00:00
422,15,1024,257,174,381,161,365,2010-05-07 14:00:00
423,16,1023,251,175,381,316,359,2010-05-07 15:00:00
424,17,1021,252,175,383,525,344,2010-05-07 16:00:00
425,18,1020,249,174,381,767,313,2010-05-07 17:00:00
426,19,1021,242,174,356,1008,198,2010-05-07 18:00:00
427,20,1023,236,174,356,1229,74,2010-05-07 19:00:00
428,21,1025,214,173,355,1376,43,2010-05-07 20:00:00
429,22,1000,208,169,361,1473,0,2010-05-07 21:00:00
430,23,971,201,169,355,1491,0,2010-05-07 22:00:00
431,24,972,199,169,352,1414,0,2010-05-07 23:00:00
432,1,971,201,163,328,1318,0,2010-05-08 00:00:00
433,2,972,193,161,327,1265,0,2010-05-08 01:00:00
434,3,973,195,168,329,1188,0,2010-05-08 02:00:00
435,4,972,189,170,329,1168,0,2010-05-08 03:00:00
436,5,971,182,170,329,1275,0,2010-05-08 04:00:00
437,6,971,167,170,329,1209,0,2010-05-08 05:00:00
438,7,971,169,170,330,1264,0,2010-05-08 06:00:00
439,8,971,186,171,342,1250,53,2010-05-08 07:00:00
440,9,969,198,173,344,1259,282,2010-05-08 08:00:00
441,10,965,197,174,338,1270,343,2010-05-08 09:00:00
442,11,961,193,175,321,1287,352,2010-05-08 10:00:00
443,12,963,189,175,340,1325,347,2010-05-08 11:00:00
444,13,961,191,175,345,1342,334,2010-05-08 12:00:00
445,14,960,209,175,364,1313,338,2010-05-08 13:00:00
446,15,959,222,176,362,1361,340,2010-05-08 14:00:00
447,16,957,230,175,363,1506,333,2010-05-08 15:00:00
448,17,958,231,174,362,1573,319,2010-05-08 16:00:00
449,18,957,226,173,359,1606,263,2010-05-08 17:00:00
450,19,957,239,173,361,1615,124,2010-05-08 18:00:00
451,20,960,241,173,364,1592,9,2010-05-08 19:00:00
452,21,963,245,173,366,1679,0,2010-05-08 20:00:00
453,22,965,244,173,365,1681,0,2010-05-08 21:00:00
454,23,966,244,173,352,1677,0,2010-05-08 22:00:00
455,24,967,241,171,351,1644,0,2010-05-08 23:00:00
456,1,968,239,169,329,1605,0,2010-05-09 00:00:00
457,2,979,237,169,325,1508,0,2010-05-09 01:00:00
458,3,974,238,169,326,1398,0,2010-05-09 02:00:00
459,4,983,238,169,327,1335,0,2010-05-09 03:00:00
